City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-2.03,86,75,0.0,US,1698692402
1,utrik,11.2278,169.8474,28.09,80,100,9.22,MH,1698692403
2,hami,42.8,93.45,11.13,41,16,0.39,CN,1698692404
3,iqaluit,63.7506,-68.5145,-10.15,72,75,6.71,CA,1698692406
4,wailua homesteads,22.0669,-159.378,24.86,94,91,1.34,US,1698692408
5,kristiansund,63.1115,7.732,-0.64,80,0,1.54,NO,1698692409
6,luanda,-8.8368,13.2343,26.0,83,40,4.12,AO,1698692410
7,taroa,8.7058,171.2275,28.66,78,98,7.71,MH,1698692412
8,xilin hot,43.9667,116.0333,9.74,37,55,7.55,CN,1698692413
9,odda,60.0691,6.5457,5.98,74,82,3.03,NO,1698692413
10,vorgashor,67.5833,63.95,-13.88,91,100,3.07,RU,1698692414
11,margaret river,-33.95,115.0667,9.06,89,4,4.39,AU,1698692417
12,waitangi,-43.9535,-176.5597,13.23,87,79,4.47,NZ,1698692417
13,fort leonard wood,37.7057,-92.1572,6.21,58,20,3.09,US,1698692419
14,puerto ayora,-0.7393,-90.3518,27.98,89,71,2.24,EC,1698692419
15,klyuchi,52.2667,79.1667,6.35,95,100,3.31,RU,1698692419
16,ola,59.5833,151.2833,-6.95,73,6,2.48,RU,1698692420
17,zaysan,47.4667,84.8667,9.98,90,100,2.1,KZ,1698692420
18,adamstown,-25.066,-130.1015,22.58,76,100,4.54,PN,1698692421
19,grytviken,-54.2811,-36.5092,5.98,80,2,3.54,GS,1698692421
20,asekeyevo,53.5742,52.7972,-0.88,88,100,3.11,RU,1698692421
21,kati,12.7441,-8.0726,28.67,49,84,2.87,ML,1698692422
22,puerto natales,-51.7236,-72.4875,7.25,39,0,3.09,CL,1698692257
23,port-aux-francais,-49.35,70.2167,2.51,83,100,15.71,TF,1698692423
24,atafu village,-8.5421,-172.5159,28.6,76,64,6.44,TK,1698692424
25,port elizabeth,-33.918,25.5701,16.16,75,20,8.23,ZA,1698692286
26,ouadda,8.0777,22.4007,23.83,63,30,1.34,CF,1698692424
27,anadyr,64.75,177.4833,-0.72,100,75,6.0,RU,1698692424
28,punta arenas,-53.15,-70.9167,8.01,49,75,6.69,CL,1698692422
29,sao joao da barra,-21.6403,-41.0511,33.05,85,100,7.46,BR,1698692425
30,san antonio de pale,-1.4014,5.6325,26.62,83,100,5.15,GQ,1698692425
31,clitheroe,53.8667,-2.4,9.51,94,92,6.68,GB,1698692426
32,albany,42.6001,-73.9662,9.8,91,100,0.45,US,1698692406
33,bonny,4.4522,7.1681,26.81,82,91,0.97,NG,1698692426
34,stettler,52.3168,-112.7186,-2.36,80,100,1.54,CA,1698692426
35,el porvenir,13.7617,-87.3458,23.63,82,98,1.41,HN,1698692427
36,bilibino,68.0546,166.4372,-19.15,74,36,1.43,RU,1698692427
37,kodinsk,58.6881,99.1844,-9.63,82,14,1.41,RU,1698692427
38,bredasdorp,-34.5322,20.0403,14.67,73,0,8.71,ZA,1698692428
39,isangel,-19.55,169.2667,20.79,70,20,3.7,VU,1698692428
40,tacna,-18.0056,-70.2483,22.11,53,0,5.14,PE,1698692429
41,anahuac,27.2333,-100.15,8.28,65,100,8.42,MX,1698692429
42,dudinka,69.4058,86.1778,-16.32,97,100,0.89,RU,1698692429
43,yellowknife,62.456,-114.3525,-0.88,88,75,6.71,CA,1698692430
44,anna regina,7.2644,-58.5077,29.93,68,87,4.26,GY,1698692431
45,port lincoln,-34.7333,135.8667,12.4,66,94,6.5,AU,1698692431
46,bethel,41.3712,-73.414,13.3,89,100,2.03,US,1698692431
47,whitehorse,60.7161,-135.0538,1.17,93,75,1.03,CA,1698692432
48,la oroya,-11.5189,-75.8994,18.55,32,95,6.53,PE,1698692432
49,kodiak,57.79,-152.4072,7.73,93,100,4.12,US,1698692433
50,namanga,-2.5433,36.7905,21.17,74,97,4.79,KE,1698692433
51,edinburgh of the seven seas,-37.0676,-12.3116,12.38,87,100,13.22,SH,1698692434
52,tiksi,71.6872,128.8694,-20.43,100,57,1.8,RU,1698692435
53,benemerito de las americas,16.5167,-90.6439,28.41,72,11,0.99,MX,1698692435
54,kirensk,57.7853,108.1119,-7.24,62,97,1.34,RU,1698692436
55,le vauclin,14.5452,-60.8388,31.03,70,75,5.66,MQ,1698692436
56,ketchikan,55.3422,-131.6461,6.99,78,100,0.63,US,1698692436
